OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE
14.0;18.0;26.0;45.0;8.0;13.0;4.0;7.0;5.0;22.0;3.0;8.0;-7.0;82.0;-5.0;241.0
16.0;21.0;32.0;59.0;10.0;18.0;6.0;10.0;16.0;22.0;6.0;12.0;-13.0;66.0;0.0;209.0
24.0;30.0;45.0;75.0;13.0;24.0;6.0;10.0;16.0;26.0;8.0;15.0;-10.0;43.0;9.0;133.0
28.0;35.0;50.0;94.0;17.0;31.0;13.0;20.0;31.0;48.0;10.0;23.0;-10.0;14.0;14.0;50.0
36.0;47.0;70.0;119.0;21.0;39.0;12.0;22.0;39.0;63.0;14.0;28.0;-10.0;16.0;10.0;30.0
44.0;56.0;81.0;144.0;28.0;55.0;15.0;27.0;50.0;94.0;20.0;40.0;-7.0;25.0;25.0;-29.0
46.0;66.0;99.0;171.0;30.0;55.0;15.0;30.0;57.0;106.0;22.0;42.0;9.0;16.0;28.0;3.0
56.0;80.0;120.0;216.0;39.0;73.0;21.0;40.0;75.0;135.0;28.0;56.0;-9.0;9.0;35.0;-8.0
61.0;82.0;124.0;220.0;42.0;83.0;22.0;45.0;85.0;156.0;32.0;62.0;-4.0;33.0;14.0;174.0
57.0;82.0;125.0;229.0;43.0;81.0;22.0;40.0;75.0;139.0;29.0;56.0;-9.0;87.0;14.0;323.0
55.0;75.0;116.0;210.0;40.0;78.0;25.0;45.0;80.0;144.0;29.0;59.0;-4.0;99.0;7.0;384.0
52.0;74.0;114.0;199.0;37.0;68.0;17.0;36.0;63.0;111.0;22.0;41.0;-4.0;158.0;-3.0;556.0
37.0;54.0;85.0;154.0;28.0;45.0;14.0;26.0;39.0;67.0;15.0;29.0;-9.0;140.0;-3.0;557.0
24.0;39.0;60.0;102.0;17.0;27.0;11.0;23.0;33.0;47.0;10.0;18.0;-11.0;98.0;-8.0;409.0
19.0;30.0;45.0;81.0;13.0;18.0;10.0;19.0;28.0;37.0;6.0;12.0;-9.0;117.0;-4.0;326.0
19.0;27.0;44.0;75.0;11.0;16.0;7.0;15.0;23.0;32.0;8.0;11.0;-14.0;100.0;-4.0;426.0
17.0;26.0;39.0;69.0;10.0;12.0;8.0;13.0;18.0;16.0;4.0;7.0;-16.0;121.0;-4.0;502.0
