OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;KEROSENE
35.0;15.0;9.0;-12.0;-24.0;-24.0;-8.0;-20.0;-41.0;-97.0;-22.0;-36.0;3.0;2.0;1.0;0.0;KEROSENE
45.0;-3.0;0.0;-18.0;-25.0;-27.0;-9.0;-26.0;-61.0;-153.0;-26.0;-37.0;-5.0;17.0;1.0;0.0;KEROSENE
35.0;-23.0;-20.0;-133.0;-32.0;-46.0;-17.0;-35.0;-83.0;-161.0;-29.0;-42.0;-5.0;16.0;1.0;0.0;KEROSENE
19.0;-31.0;-64.0;-164.0;-42.0;-67.0;-23.0;-47.0;-87.0;-192.0;-38.0;-45.0;-3.0;17.0;3.0;6.0;KEROSENE
8.0;-34.0;-68.0;-216.0;-59.0;-75.0;-26.0;-50.0;-127.0;-265.0;-56.0;-81.0;-3.0;16.0;3.0;6.0;KEROSENE
19.0;-66.0;-156.0;-319.0;-69.0;-85.0;-38.0;-78.0;-171.0;-363.0;-66.0;-87.0;-6.0;14.0;5.0;6.0;KEROSENE
39.0;-73.0;-158.0;-393.0;-81.0;-103.0;-42.0;-82.0;-177.0;-366.0;-69.0;-90.0;-12.0;15.0;3.0;6.0;KEROSENE
33.0;-9.0;-10.0;81.0;23.0;-1.0;-10.0;6.0;-12.0;6.0;0.0;2.0;15.0;0.0;4.0;9.0;KEROSENE
55.0;33.0;64.0;53.0;16.0;31.0;12.0;21.0;60.0;127.0;17.0;47.0;-6.0;-22.0;9.0;15.0;KEROSENE
41.0;33.0;82.0;193.0;18.0;50.0;12.0;21.0;99.0;211.0;36.0;61.0;-6.0;-22.0;8.0;12.0;KEROSENE
81.0;28.0;109.0;198.0;34.0;47.0;22.0;21.0;67.0;123.0;20.0;45.0;-6.0;-22.0;8.0;18.0;KEROSENE
62.0;27.0;76.0;101.0;28.0;32.0;20.0;24.0;55.0;128.0;29.0;46.0;-5.0;-19.0;-3.0;3.0;KEROSENE
35.0;28.0;76.0;105.0;28.0;37.0;20.0;20.0;58.0;115.0;23.0;34.0;-2.0;-19.0;-3.0;1.0;KEROSENE
26.0;28.0;34.0;71.0;18.0;14.0;12.0;20.0;37.0;115.0;22.0;21.0;-2.0;-19.0;-5.0;1.0;KEROSENE
15.0;28.0;34.0;74.0;21.0;10.0;6.0;20.0;31.0;115.0;22.0;22.0;-3.0;-18.0;-5.0;4.0;KEROSENE
17.0;26.0;29.0;74.0;21.0;14.0;14.0;24.0;70.0;133.0;22.0;52.0;-3.0;-18.0;-8.0;4.0;KEROSENE
17.0;44.0;70.0;74.0;28.0;18.0;8.0;32.0;73.0;157.0;26.0;49.0;-3.0;-12.0;-8.0;4.0;KEROSENE
21.0;33.0;61.0;123.0;20.0;25.0;10.0;25.0;56.0;79.0;14.0;35.0;-3.0;-19.0;-8.0;18.0;KEROSENE
57.0;21.0;18.0;59.0;10.0;18.0;8.0;13.0;16.0;79.0;14.0;9.0;-3.0;-11.0;-8.0;6.0;KEROSENE
57.0;21.0;18.0;59.0;10.0;18.0;10.0;11.0;19.0;27.0;3.0;9.0;-3.0;-13.0;-4.0;19.0;KEROSENE
57.0;8.0;11.0;59.0;0.0;11.0;8.0;13.0;19.0;27.0;0.0;9.0;4.0;-11.0;-4.0;7.0;KEROSENE
-1.0;-36.0;-89.0;-161.0;-23.0;-20.0;-11.0;-25.0;-43.0;-84.0;-12.0;-35.0;-16.0;-3.0;6.0;-10.0;KEROSENE
25.0;32.0;117.0;183.0;33.0;38.0;13.0;27.0;64.0;113.0;27.0;33.0;-6.0;11.0;-6.0;-9.0;KEROSENE
46.0;25.0;76.0;116.0;13.0;21.0;11.0;13.0;42.0;80.0;20.0;15.0;2.0;9.0;-5.0;-13.0;KEROSENE
25.0;12.0;63.0;31.0;13.0;7.0;1.0;0.0;26.0;12.0;15.0;3.0;2.0;12.0;0.0;-11.0;KEROSENE
25.0;0.0;12.0;31.0;6.0;2.0;-1.0;0.0;24.0;12.0;6.0;3.0;0.0;1.0;0.0;-14.0;KEROSENE
16.0;-2.0;13.0;31.0;6.0;2.0;-1.0;0.0;14.0;6.0;8.0;3.0;0.0;16.0;0.0;-14.0;KEROSENE
32.0;-2.0;29.0;31.0;6.0;2.0;-6.0;0.0;24.0;6.0;8.0;9.0;-5.0;11.0;-1.0;-14.0;KEROSENE
21.0;0.0;52.0;80.0;8.0;5.0;-1.0;1.0;24.0;31.0;14.0;13.0;-5.0;11.0;-11.0;-11.0;KEROSENE
32.0;4.0;46.0;41.0;8.0;6.0;-1.0;3.0;28.0;42.0;17.0;13.0;-9.0;15.0;-11.0;-14.0;KEROSENE
44.0;7.0;66.0;102.0;16.0;8.0;7.0;3.0;17.0;20.0;23.0;17.0;-9.0;10.0;-11.0;-13.0;KEROSENE
43.0;4.0;48.0;53.0;6.0;8.0;7.0;8.0;28.0;42.0;17.0;17.0;-9.0;7.0;-11.0;-13.0;KEROSENE
45.0;4.0;48.0;32.0;6.0;8.0;7.0;9.0;31.0;65.0;23.0;17.0;-9.0;10.0;-7.0;-13.0;KEROSENE
12.0;4.0;41.0;31.0;6.0;7.0;4.0;9.0;31.0;65.0;24.0;24.0;-9.0;6.0;-7.0;-13.0;KEROSENE
8.0;2.0;81.0;48.0;2.0;8.0;0.0;20.0;61.0;46.0;33.0;15.0;-9.0;1.0;-7.0;-13.0;KEROSENE
12.0;4.0;63.0;69.0;2.0;8.0;-1.0;20.0;41.0;46.0;21.0;15.0;-3.0;1.0;-7.0;-17.0;KEROSENE
37.0;4.0;30.0;48.0;-3.0;8.0;-2.0;11.0;29.0;18.0;15.0;11.0;-1.0;1.0;-3.0;-17.0;KEROSENE
38.0;0.0;31.0;35.0;-6.0;8.0;-3.0;3.0;18.0;11.0;10.0;6.0;-1.0;3.0;5.0;-13.0;KEROSENE
26.0;-16.0;29.0;-6.0;-6.0;-1.0;-3.0;-7.0;5.0;-20.0;8.0;-2.0;0.0;3.0;5.0;-13.0;KEROSENE
39.0;-16.0;18.0;-18.0;-6.0;-1.0;-3.0;-9.0;2.0;-25.0;8.0;-3.0;-3.0;3.0;6.0;-12.0;KEROSENE
30.0;-17.0;29.0;-18.0;-6.0;-1.0;-3.0;-9.0;2.0;-20.0;6.0;-2.0;-4.0;3.0;1.0;-9.0;KEROSENE
30.0;-16.0;18.0;-18.0;-4.0;-1.0;1.0;-7.0;18.0;11.0;8.0;6.0;-4.0;3.0;1.0;-11.0;KEROSENE
36.0;-16.0;15.0;-6.0;-2.0;8.0;1.0;11.0;32.0;24.0;12.0;6.0;-3.0;-5.0;1.0;-11.0;KEROSENE
46.0;-8.0;41.0;38.0;7.0;23.0;6.0;8.0;54.0;88.0;32.0;28.0;-3.0;-5.0;3.0;-9.0;KEROSENE
36.0;5.0;82.0;110.0;30.0;24.0;6.0;23.0;59.0;98.0;20.0;27.0;0.0;5.0;3.0;-9.0;KEROSENE
16.0;23.0;70.0;115.0;15.0;25.0;6.0;19.0;52.0;96.0;26.0;34.0;2.0;6.0;3.0;-9.0;KEROSENE
8.0;14.0;88.0;105.0;18.0;38.0;6.0;21.0;62.0;104.0;26.0;37.0;5.0;5.0;0.0;-9.0;KEROSENE
2.0;-3.0;0.0;7.0;1.0;4.0;1.0;1.0;1.0;4.0;2.0;-2.0;-10.0;0.0;1.0;0.0;KEROSENE
2.0;-3.0;0.0;7.0;1.0;4.0;1.0;1.0;6.0;4.0;2.0;0.0;-10.0;0.0;0.0;0.0;KEROSENE
38.0;-9.0;8.0;-31.0;6.0;2.0;-1.0;-2.0;10.0;8.0;6.0;0.0;-10.0;-5.0;-9.0;0.0;KEROSENE
